date;custid;sex;is.employed;annual_incomeUSD;marital.stat;health.ins;housing.type;vehicle;num.vehicles;age;state.of.res
10/24/2016 5:09:23;2068;1;;11300;Married;TRUE;Homeowner free and clear;YES;2;49;Michigan
10/24/2016 5:09:55;2073;1;;0;Married;TRUE;Rented;YES;3;40;Florida
10/24/2016 5:13:07;2848;2;TRUE;4500;Never Married;FALSE;Rented;YES;3;22;Georgia
10/24/2016 5:14:17;5641;2;TRUE;20000;Never Married;FALSE;Occupied with no rent;NO;4;22;New Mexico
10/24/2016 5:14:25;6369;1;TRUE;12000;Never Married;TRUE;Rented;YES;1;31;Florida
10/24/2016 5:16:43;8322;1;TRUE;180000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;40;NewYork
10/24/2016 5:16:51;8521;2;TRUE;120000;Never Married;TRUE;Homeowner free and clear;YES;1;39;Idaho
10/24/2016 5:16:55;12195;2;TRUE;40000;Married;TRUE;Rented;YES;3;48;Michigan
10/24/2016 5:17:49;14989;2;;9400;Married;TRUE;Rented;YES;2;44;Illinois
10/24/2016 5:18:51;15917;1;TRUE;24000;Divorced/Separated;TRUE;Homeowner free and clear;YES;1;70;North Caroli
10/24/2016 5:20:21;16551;1;;7000;Married;TRUE;Homeowner with mortgage/loan;YES;2;46;Georgia
10/24/2016 5:21:20;17134;2;TRUE;220000;Married;TRUE;Homeowner free and clear;YES;2;33;India
10/24/2016 5:21:28;17946;1;TRUE;85000;Divorced/Separated;TRUE;Rented;YES;1;50+;New Hampshire
10/24/2016 5:22:13;18487;1;TRUE;89200;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;63;Georgia
10/24/2016 5:22:31;20383;2;TRUE;170000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;35;South Caroli
10/24/2016 5:24:08;22295;2;TRUE;14400;Married;TRUE;Homeowner free and clear;YES;3;54;Pennsylvania
10/24/2016 5:24:11;25863;2;;41000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;1;70;Virginia
10/24/2016 5:26:18;26057;2;TRUE;30000;Married;TRUE;;NO;;28;Florida
10/24/2016 5:26:35;26355;2;TRUE;80000;Never Married;TRUE;Homeowner with mortgage/loan;YES;1;36;New Jersey
10/24/2016 5:27:00;27214;2;;18800;Married;TRUE;Homeowner free and clear;YES;2;68;Ohio
10/24/2016 5:30:40;27445;1;TRUE;35000;Never Married;TRUE;Rented;YES;2;53;Florida
10/24/2016 5:31:49;27761;2;TRUE;24000;Never Married;FALSE;Rented;YES;2;33;Illinois
10/24/2016 5:33:19;27928;2;TRUE;75000;Divorced/Separated;TRUE;Homeowner with mortgage/loan;YES;2;58;New York
